col0,objID,ra,dec,run,rerun,camcol,field,type,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,z,sourceType
2.50967E+18,1.23766E+18,24.30383309,-0.651024334,4263,301,2,278,STAR,18.98884,18.18713,18.04068,17.98747,17.87123,2.69634,QSO
2.50945E+18,1.23766E+18,25.66031875,0.087439305,4263,301,4,287,GALAXY,17.60591,17.27215,16.96535,16.52807,16.46738,0.145648,NONLEGACY
2.50945E+18,1.23766E+18,25.66031875,0.087439305,4263,301,4,287,GALAXY,17.60591,17.27215,16.96535,16.52807,16.46738,0.1456756,QSO
1.17151E+18,1.23766E+18,220.915855,6.239033373,2391,301,4,92,GALAXY,19.37029,19.30471,18.7241,18.4248,18.14752,0.2509063,QSO
1.17138E+18,1.23766E+18,219.0986013,6.313511732,2391,301,4,80,STAR,18.74299,18.50794,18.24781,18.25375,18.1812,0.9640819,QSO
1.16015E+18,1.23766E+18,225.5289288,6.685671923,3903,301,1,295,STAR,20.48772,18.87838,18.6382,18.5468,18.49404,3.159735,QSO
1.16015E+18,1.23766E+18,225.5289288,6.685671923,3903,301,1,295,STAR,20.48772,18.87838,18.6382,18.5468,18.49404,3.156014,QSO
1.16003E+18,1.23766E+18,224.0447285,5.777956194,3910,301,3,92,STAR,18.02055,17.84777,17.72799,17.81086,17.41411,0,QSO
1.15997E+18,1.23766E+18,224.4676453,5.605524326,3910,301,3,95,STAR,19.09109,18.63611,18.45588,18.41931,18.2136,2.165577,QSO
1.15997E+18,1.23766E+18,224.4676453,5.605524326,3910,301,3,95,STAR,19.09109,18.63611,18.45588,18.41931,18.2136,2.15155,QSO
1.16022E+18,1.23766E+18,225.2853246,6.932384463,3910,301,6,99,STAR,19.32068,19.28738,18.9136,18.95255,19.09802,1.313159,QSO
1.2767E+18,1.23766E+18,227.5859291,31.92688774,3900,301,4,609,STAR,19.11871,18.93954,18.84067,18.80479,18.98057,1.428191,QSO
1.27669E+18,1.23766E+18,227.9647219,32.11408912,3900,301,5,610,STAR,19.63867,19.19369,19.12518,19.01758,18.94998,1.932432,QSO
1.27684E+18,1.23766E+18,230.344419,30.51735237,4002,301,3,144,STAR,19.17269,19.25158,19.38264,19.06744,18.969,1.950948,QSO
1.27681E+18,1.23766E+18,231.1194661,30.54376101,4002,301,4,148,STAR,16.81185,16.69221,16.52409,16.64234,16.1996,0.2739726,QSO
1.27672E+18,1.23766E+18,227.1637743,32.07063534,3900,301,4,606,STAR,18.88318,18.44286,18.24906,18.1717,18.03322,2.206189,QSO
1.27672E+18,1.23766E+18,227.1637743,32.07063534,3900,301,4,606,STAR,18.88318,18.44286,18.24906,18.1717,18.03322,2.206118,QSO
1.2767E+18,1.23766E+18,228.2408927,32.31110506,3919,301,1,163,STAR,20.49504,19.38982,19.24322,19.17221,19.17601,-0.000154757,QSO
2.76981E+18,1.23768E+18,356.6917255,12.757485,7773,301,4,289,STAR,19.04147,17.89825,17.6977,17.60608,17.59233,2.747858,QSO
2.76973E+18,1.23768E+18,357.3597103,12.42490511,7787,301,4,184,STAR,19.48166,18.70372,18.6553,18.61078,18.31723,2.597498,QSO
3.83272E+18,1.23765E+18,150.0275093,-1.424314543,1241,301,5,78,STAR,19.41475,18.63691,18.56375,18.48068,18.31355,2.627904,QSO
2.729E+18,1.23768E+18,330.8413154,13.35004787,8060,301,1,42,STAR,19.28634,18.44148,18.11997,17.9931,17.81989,2.581495,QSO
1.39239E+18,1.23766E+18,229.552403,41.5014422,3964,301,1,117,STAR,19.751,19.35799,18.98961,18.91986,18.65781,0.8902143,QSO
1.39214E+18,1.23766E+18,227.3540653,41.22000949,2964,301,3,525,STAR,18.12187,18.02495,18.05908,18.20941,17.52392,0.3425358,QSO
1.39235E+18,1.23766E+18,230.2700197,41.58329244,3964,301,2,120,STAR,19.76725,19.3999,19.22811,19.03033,18.96565,1.54707,QSO
4.00367E+18,1.23767E+18,182.8240123,26.84355028,5087,301,2,203,STAR,19.19282,19.09929,19.09188,18.97254,18.80367,2.113097,QSO
4.00367E+18,1.23767E+18,182.8240123,26.84355028,5087,301,2,203,STAR,19.19282,19.09929,19.09188,18.97254,18.80367,2.113847,QSO_SUPPZ
4.00349E+18,1.23767E+18,181.8179418,25.81828589,5224,301,6,188,STAR,18.52633,18.53132,18.1182,18.10457,18.16908,1.305885,QSO
4.00383E+18,1.23767E+18,176.9896728,23.07191739,5183,301,5,300,STAR,18.4893,18.24241,18.20027,18.14359,18.02633,0.7818384,QSO
3.83319E+18,1.23765E+18,150.7080418,-0.41485034,2141,301,3,54,STAR,17.93817,17.62504,17.55508,17.54345,17.44419,0.7946218,QSO
3.83319E+18,1.23765E+18,150.7080418,-0.41485034,2141,301,3,54,STAR,17.93817,17.62504,17.55508,17.54345,17.44419,0.7945952,QSO
3.83319E+18,1.23765E+18,150.7296243,-0.41384044,2141,301,3,54,GALAXY,18.26665,18.13885,17.83442,17.10267,17.41006,0.1227456,GALAXY
3.83319E+18,1.23765E+18,150.7296243,-0.41384044,2141,301,3,54,GALAXY,18.26665,18.13885,17.83442,17.10267,17.41006,0.1227426,GALAXY
1.28851E+18,1.23766E+18,225.044842,32.09341106,4002,301,2,112,STAR,18.61839,18.27835,18.35728,18.35313,18.3043,0.733044,QSO
1.2884E+18,1.23766E+18,223.7925065,31.24357873,4512,301,4,164,GALAXY,19.09251,18.93509,18.62028,18.4921,18.00583,0.2784783,QSO
1.28834E+18,1.23766E+18,224.4544933,31.22850352,4010,301,5,75,STAR,19.43084,19.1474,19.14149,18.86875,18.66109,0.4733713,QSO
1.28844E+18,1.23766E+18,224.1240807,31.65716536,4512,301,5,164,STAR,19.13808,19.04713,18.75929,18.70587,18.72409,1.135031,QSO
1.28846E+18,1.23766E+18,225.1002041,31.66432172,4002,301,1,114,GALAXY,19.03992,18.71434,18.6292,18.32326,18.2059,0.5125669,QSO
1.28852E+18,1.23766E+18,224.7970586,31.90491001,3900,301,2,595,STAR,19.05259,18.96529,18.69589,18.79726,18.81914,1.199966,QSO
1.28862E+18,1.23766E+18,226.4351033,31.87729515,3900,301,3,603,STAR,20.20329,19.27626,19.13312,19.07811,19.06593,2.731051,NONLEGACY
1.28862E+18,1.23766E+18,226.4351033,31.87729515,3900,301,3,603,STAR,20.20329,19.27626,19.13312,19.07811,19.06593,2.72932,QSO
7.53633E+17,1.23766E+18,152.4381239,35.98934208,4469,301,5,276,STAR,19.41113,19.03715,18.68127,18.36722,18.23094,1.524625,QSO
7.53794E+17,1.23766E+18,154.7218419,35.87288146,4469,301,3,287,STAR,19.05651,18.47605,18.40027,18.41254,18.16895,2.38937,QSO
7.53794E+17,1.23766E+18,154.7218419,35.87288146,4469,301,3,287,STAR,19.05651,18.47605,18.40027,18.41254,18.16895,2.390687,QSO
7.53657E+17,1.23766E+18,153.3621116,35.96857908,4469,301,4,281,STAR,17.82254,17.23279,17.07425,16.86408,16.79777,0.5474724,QSO
7.53855E+17,1.23766E+18,155.0812761,36.62382812,3900,301,5,217,STAR,19.72938,19.20558,19.10623,19.04266,18.81318,2.213173,QSO
7.53855E+17,1.23766E+18,155.0812761,36.62382812,3900,301,5,217,STAR,19.72938,19.20558,19.10623,19.04266,18.81318,2.215893,QSO
7.53515E+17,1.23766E+18,152.6001559,35.18673607,4469,301,3,275,STAR,18.79313,18.75756,18.63124,18.63805,18.6065,1.057836,QSO
7.53655E+17,1.23766E+18,153.1849129,35.89661159,4469,301,4,279,STAR,18.83231,18.50446,18.29824,18.26824,18.20682,1.025125,QSO
7.53655E+17,1.23766E+18,153.1849129,35.89661159,4469,301,4,279,STAR,18.83231,18.50446,18.29824,18.26824,18.20682,1.025363,STAR
