source_id, ra, dec
SC131 187.042354 12.242526
S1514 187.631392 12.379236
H51543 187.424683 12.454830
H55373 187.812896 12.494103
S1007 187.693450 12.289708
H19824 187.502846 12.133411
S829 187.710050 12.424810
S293 187.770700 12.479710
S38 187.817510 12.391910
SC401 187.613383 12.485836
SC160 186.711742 11.776424
H30107 187.731300 12.259894
T13942 187.842692 12.415122
F7 187.719954 12.266911
S66 187.813038 12.293500
SC242 187.852321 12.261794
SC198 187.263350 12.858605
SC122 187.802154 12.110945
H59252 187.805600 12.534561
H28866 187.755646 12.246670
S379 187.762730 12.291380
S7021 187.694892 12.258930
S5020 187.691880 12.394180
H36951 188.029163 12.329245
UCD08 186.347275 12.592356
SC302 187.499213 12.636858
R10146 187.344404 12.877703
S161 187.794900 12.323470
R10106 187.359454 12.876769
H46131 187.805500 12.405625
SC458 187.202467 12.853569
H25031 187.581467 12.204236
H63252 187.614854 12.579331
H28230 187.679988 12.239678
S1341 187.657590 12.417610
H21505 187.261804 12.166186
S1575 187.619790 12.410470
H30149 187.976346 12.260369
SC170 187.163829 12.609995
S1265 187.670088 12.283028
H61385 187.815500 12.557597
H68939 187.671921 12.659811
VUCD6 187.868171 12.417669
S9 187.824013 12.395808
H25785 187.861592 12.212675
SC55 186.959479 12.557202
S1497 187.636750 12.278170
SC87 187.965288 12.338603
S1634 187.607790 12.404300
H40803 187.749883 12.362667
SC215 187.314350 12.241016
GC156 187.086254 12.193776
H56963 187.696438 12.510214
S8054 187.741470 12.407380
S1334 187.661570 12.282990
T15711 188.035320 12.331760
S1548 187.627917 12.301453
S581 187.737679 12.365836
S7002 187.571360 12.300690
H17472 187.807558 12.109006
SC27 187.749308 12.101955
H62016 187.763142 12.565608
GC095 186.474274 12.398620
SC407 187.504992 12.432228
H34266 187.922029 12.302459
VUCD1 187.531558 12.608611
SC187 187.021913 12.018887
H31983 187.474750 12.279661
S1472 187.641710 12.299360
SC178 187.066925 12.444994
SC141 186.704988 12.229791
SC338 187.524192 12.299714
SC425 187.545175 12.658803
S5025 187.692470 12.391300
F1 187.646320 12.414860
H35579 187.886883 12.316100
S5058 187.713560 12.387490
SC303 186.552317 11.924214
SC25 187.947708 12.293883
SC382 187.066800 12.578506
SC115 187.416917 12.106028
SC364 187.896767 12.238423
SC62 186.740363 12.455340
H17256 187.382096 12.105169
H45967 187.728296 12.403411
SC216 187.516350 12.299219
H59823 187.524117 12.539725
S7014 187.601340 12.523040
S1549 187.624480 12.414790
S307 187.772700 12.311270
UCD26 186.902344 12.532689
S1463 187.642938 12.295116
SC24 187.920883 12.307223
M87UCD-21 187.905992 12.294644
H60478 187.396046 12.547186
S1532 187.630704 12.311967
H32252 187.283921 12.282089
S798 187.715750 12.340850
S1714 187.590550 12.450370
R10837 187.366750 12.894490
S324 187.770520 12.302290
SC128 187.001438 12.447911
S1668 187.603430 12.313510
SC475 187.269975 12.665011
SC459 187.255642 12.369192
S8001 187.765390 12.298940
H44775 187.841433 12.394436
S8004 187.690258 12.405267
SC5 187.942629 12.395681
SC190 187.228633 12.560750
H50414 187.599733 12.443559
SC369 186.925079 12.742139
H47461 187.751754 12.416881
S1247 187.671188 12.309961
H57161 187.862363 12.512363
VUCD10 187.628575 12.311572
H69000 187.390421 12.659828
S235 187.780220 12.424570
H55210 187.419563 12.491770
S9051 187.703080 12.374410
S286 187.775990 12.328350
H45625 187.867500 12.401311
SC345 187.625142 12.233136
S5010 187.695470 12.392930
H71302 187.378692 12.688786
S874 187.707070 12.292840
S93 187.808040 12.297110
SC81 186.772529 12.447025
H18029 187.369196 12.115403
S1280 187.668040 12.290770
SC180 187.343646 12.678833
H51777 187.764200 12.457361
H60720 187.646654 12.550217
H60996 187.727450 12.553336
R11872 187.361942 12.919283
S321 187.767190 12.445930
H34998 187.418288 12.309822
UCD30 187.134963 13.055725
S1433 187.646500 12.305211
S396 187.759860 12.296240
SC147 186.682667 11.920240
SC175 186.793917 11.922265
SC262 187.427446 12.662364
UCD27 187.065979 12.870094
H39893 187.608592 12.355208
T13892 187.858850 12.428520
SC456 187.026229 12.736305
H18999 187.681904 12.126570
H63998 187.521946 12.588008
M87UCD-20 187.422183 12.664572
S849 187.710371 12.319631
H18362 187.407304 12.118630
H18926 187.840304 12.125678
SC288 187.064829 12.145246
M87UCD-7 187.525250 12.664990
SC451 187.428533 12.786031
S973 187.695030 12.344010
S1034 187.690242 12.320500
H38667 187.966063 12.344639
H41166 187.676283 12.365564
VUCD8 188.018133 12.341766
R7403 187.374410 12.814740
H39007 187.986175 12.347231
S1216 187.674870 12.318490
S7015 187.604313 12.517034
SC116 187.364629 12.742955
S7009 187.582813 12.470369
SC385 187.573113 12.531264
SC237 187.381083 12.479905
SC272 187.397517 12.728836
UCD23 186.735672 12.592283
H56898 187.659788 12.509461
SC140 187.103317 12.134231
SC437 187.735542 12.324278
S1664 187.602638 12.415511
S1611 187.611680 12.432630
SC191 187.497867 12.327958
GC157 187.108139 12.368344
SC325 186.873029 12.392285
SC335 187.566004 12.437264
H52381 187.668500 12.463547
SC320 187.080317 12.906794
S28 187.822467 12.315297
S501 187.744075 12.440206
H21188 187.670129 12.162778
H21863 187.872521 12.170686
SC251 187.195400 12.792608
SC483 187.398592 12.119078
SC443 187.298542 12.373366
H64373 187.642150 12.592364
S8056 187.686170 12.391280
S279 187.774188 12.444647
SC12 187.815683 12.471108
SC432 187.133658 12.885225
S7011 187.587921 12.513573
S468 187.747520 12.445470
S137 187.798346 12.341692
S684 187.725110 12.443180
S420 187.751950 12.476260
SC146 187.334446 12.518803
SC454 187.146304 12.272847
S1704 187.597540 12.291190
S679 187.724063 12.490891
H53340 187.213871 12.472328
R9363 187.341183 12.858869
H41562 187.550771 12.368728
S1708 187.595740 12.273800
SC324 187.276225 12.356950
SC21 187.875579 12.492989
S1540 187.625083 12.465697
H46634 187.221896 12.409339
S647 187.728950 12.419860
S784 187.714392 12.446628
H20627 187.756121 12.155620
H22343 187.902763 12.175122
H20493 187.873133 12.153906
S668 187.726550 12.434586
SC213 187.341483 12.193475
H54361 187.897008 12.484205
R14800 187.269110 12.994840
SC442 187.148825 12.909661
SC250 187.189850 12.924772
SC342 187.733208 12.408694
T13453 187.918408 12.467938
H44427 187.734163 12.391822
S1336 187.660304 12.330589
SC171 187.144258 12.800189
S1298 187.661470 12.448820
SC20 187.782654 12.517533
H23912 187.628404 12.192589
S835 187.708600 12.450900
H25523 187.709642 12.209775
S1010 187.691429 12.357078
H55700 187.783629 12.497097
S1244 187.667958 12.460497
S1370 187.655942 12.321609
H48232 187.713592 12.423233
S1608 187.612170 12.429070
VUCD2 187.700846 12.586364
SC61 187.373271 12.542075
S7001 187.565280 12.470790
SC85 187.427475 12.496098
GC173 187.316708 12.631092
GC158 187.111572 13.090744
SC14 187.005200 12.485075
SC430 187.466283 12.496711
H57106 187.473079 12.511717
H22228 187.374671 12.173200
S1457 187.639575 12.459608
SC275 186.902038 12.365874
H64109 187.531929 12.589444
S572 187.738870 12.355080
H26690 187.729567 12.222700
AC6 187.700000 12.408972
GC186 187.475379 12.229481
S1535 187.626390 12.445700
R13164 187.301740 12.950840
SC391 187.576263 12.753700
M87UCD-36 187.797088 12.500292
S7024 187.704820 12.405680
H59047 187.798921 12.532836
S750 187.720380 12.374150
H60421 187.680929 12.546808
S170 187.793560 12.292940
S176 187.793320 12.281450
S1157 187.678013 12.390123
S697 187.725470 12.381940
SC282 187.568808 12.456409
S1489 187.636160 12.334230
S1656 187.604020 12.397250
SC195 187.673550 12.489025
S1055 187.685121 12.460444
M87UCD-4 187.590950 12.400672
S7010 187.587140 12.404420
H73729 187.605358 12.719375
UCD52 187.606929 12.594894
S588 187.736740 12.352120
S8007 187.673533 12.487644
S1584 187.617429 12.414961
S421 187.753520 12.413040
S7020 187.690280 12.388130
S838 187.708810 12.432490
S807 187.712833 12.420205
S1551 187.625360 12.374820
SC359 187.540271 12.684058
S1538 187.627800 12.382220
S1093 187.680775 12.467620
S1112 187.681200 12.396360
S645 187.730025 12.376636
SC389 187.288754 12.344637
S824 187.712230 12.368330
H61323 187.763083 12.557086
S7027 187.836120 12.326290
H60006 187.313492 12.542216
S5071 187.705450 12.375840
S1251 187.668530 12.394120
S741 187.721790 12.347840
SC266 187.579650 12.739639
SC259 186.738967 11.893090
S5064 187.703260 12.401690
SC95 187.287067 12.360681
S946 187.696870 12.418980
F6 187.697490 12.550470
GC185 187.467700 12.573903
H60768 187.692946 12.550551
S5001 187.712500 12.380990
H62127 187.678329 12.566328
S831 187.708725 12.457164
H42464 187.285625 12.376803
SC355 186.915850 12.361288
